City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
408,Kamina,3,CD,2021-09-25 22:18:33,38,-8.7386,24.9906,68.79,2.98
409,Sakakah,0,SA,2021-09-25 22:18:33,32,29.9697,40.2064,80.17,7.45
410,Viedma,100,AR,2021-09-25 22:18:33,33,-40.8135,-62.9967,76.06,19.98
411,Tiznit,0,MA,2021-09-25 22:18:34,56,29.5833,-9.5,68.97,0.09
412,Tabou,99,CI,2021-09-25 22:18:34,88,4.423,-7.3528,77.07,9.22
413,Mumford,100,GH,2021-09-25 22:18:35,87,5.2618,-0.759,77.7,7.2
414,Idrinskoye,100,RU,2021-09-25 22:18:35,82,54.3708,92.1358,34.39,4.05
415,Diego De Almagro,0,CL,2021-09-25 22:18:35,25,-26.3667,-70.05,73.02,6.15
416,Santa Ana,40,US,2021-09-25 22:14:18,62,33.7456,-117.8678,93.87,3.0
417,Mikkeli,40,FI,2021-09-25 22:18:36,93,61.6886,27.2723,45.14,5.75
418,Ahipara,75,NZ,2021-09-25 22:18:36,89,-35.1667,173.1667,59.05,6.15
419,Camabatela,98,AO,2021-09-25 22:18:37,76,-8.1881,15.375,66.56,6.08
420,Batagay-Alyta,86,RU,2021-09-25 22:18:37,90,67.8006,130.4114,24.94,3.38
421,Karachi,75,PK,2021-09-25 22:18:38,79,24.9056,67.0822,84.02,5.75
422,Brighton,100,GB,2021-09-25 22:18:38,93,50.8284,-0.1395,58.91,4.56
423,Acapulco,75,MX,2021-09-25 22:15:08,79,16.8634,-99.8901,87.62,6.91
424,Remedios,30,CU,2021-09-25 22:18:38,70,22.4947,-79.5458,81.52,10.07
425,Goundam,87,ML,2021-09-25 22:18:39,28,16.4145,-3.6708,94.73,4.72
426,Tazmalt,100,DZ,2021-09-25 22:18:39,38,36.3868,4.3989,84.06,1.92
427,Clyde River,1,CA,2021-09-25 22:18:39,100,70.4692,-68.5914,26.83,5.75
428,Monticello,1,US,2021-09-25 22:18:02,27,45.3055,-93.7941,72.03,8.05
429,Raymond,63,US,2021-09-25 22:18:40,86,43.9015,-70.4703,69.82,3.96
430,Huarmey,91,PE,2021-09-25 22:18:40,79,-10.0681,-78.1522,66.09,11.43
431,Kuah,20,MY,2021-09-25 22:18:41,89,6.3265,99.8432,80.58,3.44
432,Chalons-En-Champagne,77,FR,2021-09-25 22:18:41,94,48.9539,4.3672,64.98,5.99
433,Valdivia,79,CL,2021-09-25 22:18:42,88,-39.8142,-73.2459,50.09,4.36
434,Viking,92,CA,2021-09-25 22:18:42,45,53.1001,-111.7684,67.86,8.55
435,Dibombari,100,CM,2021-09-25 22:18:42,94,4.1787,9.6561,72.72,2.53
436,Flinders,95,AU,2021-09-25 22:16:26,60,-34.5833,150.8552,57.2,7.0
437,Inirida,81,CO,2021-09-25 22:18:43,83,3.8653,-67.9239,79.5,2.33
